record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_replacement_risk,remote_jobs_percentage,top_hiring_role,salary_budget_change,ai_adoption_level,job_security_score,market_condition
T1838,Oracle,FinTech,Germany,Mid-size,Aug,2025,4165,35.2,Overhiring Correction,10.0,49.9,ML Engineer,-13.6,5.6,3.0,Recession
T1839,Databricks,Cybersecurity,Singapore,Startup,Feb,2024,11740,15.7,AI Automation,10.0,40.9,Data Scientist,5.2,6.9,3.9,Recession
T1840,Google,Gaming,USA,Enterprise,Jun,2024,1891,0.7,Cost Cutting,6.7,83.0,Cybersecurity Analyst,1.2,7.3,7.3,Bull Market
T1841,Uber,FinTech,USA,Enterprise,Oct,2025,15388,15.9,Restructuring,6.1,51.3,Cybersecurity Analyst,14.9,2.6,6.6,Recession
T1842,Salesforce,Social Media,India,Enterprise,Sep,2024,1416,14.1,Cost Cutting,7.9,45.2,Data Scientist,-5.6,5.8,4.6,Stable
T1843,Netflix,E-Commerce,USA,Big Tech,Dec,2025,585,2.7,Cost Cutting,3.6,78.0,DevOps Engineer,19.9,7.6,7.8,Bull Market
T1844,Microsoft,Social Media,India,Big Tech,Mar,2025,2090,8.9,Restructuring,3.2,48.0,Software Engineer,-6.2,4.2,6.3,Bull Market
T1845,NVIDIA,E-Commerce,India,Startup,Aug,2026,16129,22.2,Overhiring Correction,8.5,53.3,Cybersecurity Analyst,1.9,3.9,5.7,Recession
T1846,Netflix,E-Commerce,USA,Big Tech,Jun,2024,14055,10.0,Market Slowdown,7.9,10.1,Cybersecurity Analyst,-18.9,6.2,5.6,Recession
T1847,Amazon,Cloud,India,Enterprise,Mar,2024,6435,31.6,Cost Cutting,10.0,18.5,Frontend Developer,-11.0,9.1,2.8,Recession
T1848,Salesforce,FinTech,Singapore,Startup,Jan,2026,849,1.9,Overhiring Correction,3.6,74.0,DevOps Engineer,-13.4,3.1,6.7,Stable
T1849,Oracle,Cloud,UK,Enterprise,Sep,2024,388,0.1,Restructuring,1.0,13.5,Cloud Engineer,18.2,3.1,8.3,Bull Market
T1850,Salesforce,Cloud,USA,Mid-size,May,2025,10116,12.6,Restructuring,6.1,43.6,Cloud Engineer,0.4,6.3,6.3,Recession
T1851,Salesforce,AI,UK,Big Tech,Jun,2026,9623,30.9,AI Automation,10.0,59.8,ML Engineer,-10.5,5.0,2.6,Recession
T1852,Apple,Gaming,Canada,Startup,May,2025,12007,14.3,Cost Cutting,9.2,89.4,Software Engineer,0.8,8.9,4.2,Recession
T1853,OpenAI,E-Commerce,Germany,Startup,Dec,2025,15484,29.8,Market Slowdown,10.0,68.0,Cloud Engineer,-21.0,6.0,2.5,Recession
T1854,Intel,Gaming,Canada,Big Tech,Mar,2025,2063,17.7,Market Slowdown,10.0,83.0,Cybersecurity Analyst,-7.6,9.7,3.8,Stable
T1855,Palantir,Cloud,Germany,Enterprise,Aug,2026,221,13.9,AI Automation,10.0,46.3,Data Scientist,7.0,7.0,5.3,Stable
T1856,Salesforce,Gaming,Canada,Startup,Feb,2024,1065,0.1,AI Automation,3.5,20.0,ML Engineer,8.7,3.7,7.4,Bull Market
T1857,Netflix,FinTech,USA,Mid-size,Feb,2024,11865,18.7,AI Automation,10.0,37.7,Product Manager,5.9,7.0,4.5,Recession
T1858,Google,Social Media,UK,Startup,Nov,2025,196,1.9,AI Automation,1.5,58.3,DevOps Engineer,-12.6,3.5,6.6,Bull Market
T1859,Databricks,AI,USA,Mid-size,Mar,2024,1713,6.7,AI Automation,2.5,57.5,ML Engineer,-2.2,1.4,6.7,Bull Market
T1860,Google,E-Commerce,Singapore,Mid-size,Dec,2024,2089,4.2,Restructuring,10.0,33.1,Software Engineer,4.3,9.4,4.2,Bull Market
T1861,Salesforce,Social Media,Canada,Mid-size,Dec,2025,881,12.8,Overhiring Correction,6.0,35.5,Product Manager,-8.0,2.1,5.9,Stable
T1862,Netflix,E-Commerce,UK,Startup,Sep,2024,3356,11.1,AI Automation,4.8,18.1,ML Engineer,-2.6,1.0,5.7,Stable
T1863,Netflix,Cloud,UK,Mid-size,Dec,2024,3045,40.0,AI Automation,10.0,51.3,Product Manager,8.2,7.5,3.4,Recession
T1864,Uber,Cloud,UK,Mid-size,Nov,2026,1142,0.2,Market Slowdown,10.0,66.6,Frontend Developer,27.8,9.9,7.4,Bull Market
T1865,Databricks,E-Commerce,Canada,Enterprise,May,2025,752,8.1,Cost Cutting,10.0,26.6,Frontend Developer,18.6,5.8,6.8,Bull Market
T1866,Anthropic,AI,Singapore,Enterprise,Feb,2024,2367,12.7,AI Automation,10.0,18.8,ML Engineer,20.7,6.4,5.4,Stable
T1867,OpenAI,FinTech,Singapore,Startup,Feb,2026,6379,17.8,Restructuring,4.5,55.4,Frontend Developer,20.8,2.0,7.5,Recession
T1868,Google,Social Media,Singapore,Startup,Dec,2026,447,9.1,Overhiring Correction,6.2,61.7,Cybersecurity Analyst,-1.6,3.5,5.6,Stable
T1869,Amazon,Cybersecurity,UK,Enterprise,Dec,2025,3969,15.6,Market Slowdown,6.8,22.3,Cybersecurity Analyst,13.6,6.9,5.8,Stable
T1870,OpenAI,FinTech,Germany,Enterprise,Apr,2026,2971,31.2,Cost Cutting,10.0,64.4,Product Manager,16.3,9.4,3.4,Recession
T1871,Meta,Social Media,UK,Big Tech,Jun,2025,5512,16.2,Restructuring,10.0,20.4,DevOps Engineer,-2.0,9.6,3.8,Stable
T1872,SAP,E-Commerce,India,Mid-size,Jul,2024,10907,23.4,Cost Cutting,10.0,19.8,Frontend Developer,-1.1,7.5,5.1,Recession
T1873,Salesforce,E-Commerce,Singapore,Mid-size,Jan,2025,4615,1.4,Cost Cutting,6.2,70.0,Cybersecurity Analyst,-14.6,3.6,6.9,Stable
T1874,Apple,Cybersecurity,India,Mid-size,Jul,2025,402,6.4,Cost Cutting,5.0,48.9,Software Engineer,23.5,9.3,7.6,Bull Market
T1875,Spotify,FinTech,India,Startup,Mar,2025,204,13.6,Overhiring Correction,8.8,72.0,Frontend Developer,12.1,7.8,6.0,Stable
T1876,Spotify,Cloud,India,Big Tech,Jul,2025,3769,28.3,Cost Cutting,10.0,72.4,DevOps Engineer,25.3,9.5,4.1,Recession
T1877,OpenAI,Social Media,USA,Enterprise,Jun,2026,1883,9.6,Restructuring,6.4,38.3,Data Scientist,3.0,4.6,5.7,Bull Market
T1878,Databricks,FinTech,India,Mid-size,Apr,2025,16893,33.4,Restructuring,10.0,59.8,DevOps Engineer,-2.7,4.2,3.8,Recession
T1879,Google,FinTech,Singapore,Mid-size,Nov,2026,1719,4.8,Restructuring,4.6,47.7,Cloud Engineer,2.0,4.2,6.0,Stable
T1880,Databricks,AI,Canada,Mid-size,Jun,2026,11111,39.3,Market Slowdown,10.0,26.7,Data Scientist,-1.1,4.7,2.2,Recession
T1881,Apple,FinTech,Canada,Big Tech,Aug,2025,2166,2.9,Restructuring,8.4,82.5,Software Engineer,10.1,7.7,5.6,Bull Market
T1882,Airbnb,Cloud,UK,Mid-size,May,2026,5465,9.7,Market Slowdown,8.5,55.2,DevOps Engineer,-14.2,9.4,3.9,Stable
T1883,Stripe,Gaming,UK,Mid-size,Nov,2026,611,4.9,Cost Cutting,10.0,84.8,Cybersecurity Analyst,12.1,7.7,5.3,Bull Market
T1884,Stripe,Cybersecurity,India,Mid-size,Jan,2025,329,3.8,Overhiring Correction,10.0,76.2,DevOps Engineer,-3.1,7.1,4.6,Stable
T1885,Microsoft,E-Commerce,India,Enterprise,Aug,2026,1991,2.8,Market Slowdown,4.1,88.8,DevOps Engineer,22.4,5.2,8.2,Bull Market
T1886,Amazon,E-Commerce,Germany,Mid-size,Jun,2024,1923,14.1,Restructuring,10.0,12.5,ML Engineer,-0.9,6.3,4.8,Stable
T1887,Airbnb,Cloud,Singapore,Startup,Oct,2025,5687,15.5,Overhiring Correction,7.3,17.8,Cybersecurity Analyst,2.5,5.4,5.7,Stable
T1888,Apple,Gaming,UK,Enterprise,Oct,2026,5865,2.0,Cost Cutting,8.5,51.7,Cybersecurity Analyst,-8.6,7.2,6.4,Stable
T1889,Uber,Cybersecurity,Canada,Startup,Dec,2024,3844,8.1,Overhiring Correction,6.2,85.5,Software Engineer,13.5,2.8,6.7,Stable
T1890,Anthropic,FinTech,India,Big Tech,May,2025,1165,15.6,Cost Cutting,5.6,70.5,Software Engineer,-7.8,4.1,5.2,Stable
T1891,Apple,FinTech,USA,Startup,Feb,2025,4424,36.3,Restructuring,9.8,66.7,Frontend Developer,10.5,4.0,3.7,Recession
T1892,Apple,E-Commerce,Singapore,Big Tech,Oct,2025,17362,34.8,Market Slowdown,10.0,82.8,ML Engineer,-5.2,3.3,3.3,Recession
T1893,Microsoft,FinTech,Germany,Enterprise,May,2024,2494,7.9,Overhiring Correction,10.0,64.0,DevOps Engineer,-0.2,6.8,4.4,Bull Market
T1894,Apple,FinTech,USA,Startup,Sep,2025,2451,3.2,Market Slowdown,5.1,46.8,Cybersecurity Analyst,-0.5,5.0,6.9,Bull Market
T1895,Apple,FinTech,Singapore,Big Tech,Nov,2025,2944,11.9,Market Slowdown,2.2,62.0,Software Engineer,-1.8,1.7,6.8,Recession
T1896,NVIDIA,Cloud,UK,Startup,Jun,2026,14123,29.6,Overhiring Correction,9.0,66.2,Cloud Engineer,16.2,1.4,5.5,Recession
T1897,Meta,Cybersecurity,USA,Mid-size,Feb,2024,2121,4.5,Cost Cutting,6.9,36.4,Data Scientist,9.6,5.7,7.2,Stable
T1898,Microsoft,Cybersecurity,India,Mid-size,Jun,2025,937,6.4,AI Automation,2.3,60.9,Cybersecurity Analyst,1.8,1.3,7.2,Bull Market
T1899,Oracle,FinTech,USA,Big Tech,Sep,2025,6098,15.9,Restructuring,9.6,81.4,Software Engineer,1.6,9.3,5.1,Stable
T1900,Apple,Cybersecurity,USA,Mid-size,Feb,2025,6079,14.6,Cost Cutting,9.7,32.6,ML Engineer,16.7,8.0,5.1,Stable
T1901,Airbnb,AI,Singapore,Startup,Aug,2024,2390,2.9,AI Automation,7.5,88.4,ML Engineer,4.6,3.9,6.6,Bull Market
T1902,Airbnb,Gaming,India,Mid-size,Jun,2025,245,4.1,Restructuring,9.3,80.7,Cybersecurity Analyst,15.8,5.9,6.4,Bull Market
T1903,Google,Cybersecurity,UK,Big Tech,Sep,2024,2364,9.1,AI Automation,8.8,56.8,Frontend Developer,-4.5,6.5,4.3,Bull Market
T1904,Uber,Cybersecurity,USA,Mid-size,Jan,2025,852,6.0,AI Automation,4.6,76.7,DevOps Engineer,-3.0,3.7,7.3,Bull Market
T1905,Stripe,FinTech,Canada,Mid-size,Mar,2026,3524,13.6,AI Automation,6.2,43.9,Product Manager,24.2,5.2,6.0,Stable
T1906,Databricks,FinTech,UK,Enterprise,Mar,2024,8015,22.0,Overhiring Correction,6.3,85.2,Frontend Developer,-0.3,1.8,4.2,Recession
T1907,Spotify,FinTech,India,Enterprise,Feb,2026,5089,5.2,Market Slowdown,6.5,23.3,Frontend Developer,16.5,8.9,7.9,Stable
T1908,SAP,AI,Germany,Big Tech,Feb,2024,1320,4.7,Restructuring,1.8,24.4,ML Engineer,7.1,2.6,8.2,Bull Market
T1909,Microsoft,Social Media,India,Mid-size,Dec,2026,3812,13.0,Cost Cutting,4.3,89.4,Cloud Engineer,-15.6,2.4,6.4,Recession
T1910,Stripe,Gaming,UK,Enterprise,Nov,2026,5550,4.3,Cost Cutting,8.6,68.1,Software Engineer,8.2,7.1,6.7,Stable
T1911,Stripe,Gaming,UK,Mid-size,May,2024,16402,39.8,Cost Cutting,10.0,22.9,Software Engineer,-15.5,2.3,2.4,Recession
T1912,Netflix,Gaming,UK,Mid-size,Dec,2025,2919,1.0,Restructuring,1.0,24.5,Frontend Developer,5.5,1.5,8.1,Stable
T1913,NVIDIA,Cybersecurity,India,Big Tech,Nov,2024,4475,12.1,AI Automation,8.4,75.3,Cloud Engineer,7.2,4.1,6.7,Stable
T1914,Databricks,AI,USA,Startup,Jan,2025,13760,13.8,AI Automation,7.9,28.6,ML Engineer,13.5,3.2,6.7,Recession
T1915,Adobe,E-Commerce,Germany,Mid-size,Jun,2024,2229,8.3,Cost Cutting,8.8,65.4,Software Engineer,15.7,9.3,6.6,Bull Market
T1916,Oracle,Social Media,UK,Startup,Nov,2024,3145,8.0,Market Slowdown,3.5,11.8,Frontend Developer,9.6,1.3,8.5,Stable
T1917,Meta,AI,UK,Mid-size,Apr,2024,978,16.7,AI Automation,6.5,59.6,Data Scientist,-5.5,2.9,4.6,Stable
T1918,OpenAI,Cloud,USA,Startup,Aug,2026,1639,4.2,Overhiring Correction,3.2,64.3,Product Manager,-13.2,3.0,7.2,Bull Market
T1919,Spotify,FinTech,USA,Big Tech,Apr,2024,98,8.6,Restructuring,1.0,61.0,ML Engineer,9.6,1.0,8.1,Bull Market
T1920,NVIDIA,AI,USA,Big Tech,Jul,2024,6644,10.2,AI Automation,10.0,45.8,Data Scientist,19.9,7.1,5.5,Stable
T1921,Stripe,AI,Singapore,Startup,Dec,2025,2467,13.4,Cost Cutting,9.1,42.7,Data Scientist,-6.7,5.6,4.1,Stable
T1922,Spotify,AI,Singapore,Enterprise,Dec,2025,1884,0.0,AI Automation,4.8,24.4,ML Engineer,21.8,9.3,9.7,Bull Market
T1923,Meta,Gaming,Canada,Big Tech,Apr,2026,4754,9.2,AI Automation,10.0,58.7,DevOps Engineer,5.3,8.4,6.3,Recession
T1924,Adobe,FinTech,USA,Enterprise,Sep,2024,988,3.1,Market Slowdown,5.3,44.6,DevOps Engineer,1.8,3.7,8.3,Stable
T1925,Intel,Social Media,Canada,Mid-size,Jul,2024,785,15.4,Overhiring Correction,8.8,33.4,Cybersecurity Analyst,0.8,6.3,4.8,Stable
T1926,NVIDIA,FinTech,Germany,Enterprise,Nov,2025,6840,16.1,Overhiring Correction,10.0,43.6,ML Engineer,-4.6,8.5,3.6,Stable
T1927,Oracle,FinTech,Germany,Startup,Mar,2025,2024,39.7,Market Slowdown,10.0,87.3,Cloud Engineer,-2.6,4.8,2.8,Recession
T1928,SAP,E-Commerce,Canada,Mid-size,Sep,2026,1627,4.0,Cost Cutting,10.0,82.3,Cybersecurity Analyst,20.8,9.8,6.4,Bull Market
T1929,Databricks,FinTech,Canada,Mid-size,Apr,2026,9590,37.0,Restructuring,10.0,76.8,ML Engineer,-16.2,3.9,1.6,Recession
T1930,Amazon,Gaming,Germany,Startup,Sep,2024,14491,26.0,Overhiring Correction,10.0,33.9,Software Engineer,12.4,7.7,4.6,Recession
T1931,Google,FinTech,Canada,Mid-size,Nov,2026,4343,14.1,Market Slowdown,10.0,68.7,Product Manager,8.1,4.9,4.2,Recession
T1932,OpenAI,AI,UK,Enterprise,Sep,2026,16071,19.3,Restructuring,10.0,45.4,Data Scientist,-3.8,7.9,3.9,Recession
T1933,Airbnb,Cybersecurity,UK,Big Tech,Apr,2026,15707,10.0,Restructuring,8.2,54.4,Data Scientist,15.7,6.2,5.2,Recession
T1934,Apple,Gaming,Singapore,Mid-size,Sep,2024,14942,8.9,Restructuring,4.7,27.5,Software Engineer,14.6,6.7,8.1,Recession
T1935,Apple,AI,Singapore,Enterprise,May,2024,2441,7.8,Overhiring Correction,3.4,34.5,Data Scientist,10.8,4.5,7.6,Bull Market
T1936,Microsoft,Gaming,India,Startup,May,2024,415,9.6,Cost Cutting,8.8,74.3,Software Engineer,1.5,5.9,5.0,Bull Market
T1937,Netflix,Gaming,Singapore,Startup,Aug,2024,185,6.5,Restructuring,4.4,28.5,Cloud Engineer,19.5,1.4,7.2,Bull Market
T1938,Intel,Social Media,Germany,Startup,Jun,2025,12237,31.7,Market Slowdown,10.0,17.2,Cloud Engineer,-3.7,9.8,4.1,Recession
T1939,Uber,FinTech,Germany,Big Tech,Nov,2025,12430,11.9,AI Automation,10.0,61.7,Software Engineer,-7.3,7.7,3.6,Recession
T1940,OpenAI,FinTech,UK,Startup,Jul,2026,1809,9.5,AI Automation,7.2,70.6,DevOps Engineer,20.3,6.5,6.8,Stable
T1941,Oracle,Social Media,Canada,Enterprise,Jan,2025,16002,12.0,AI Automation,2.5,82.4,DevOps Engineer,-3.0,1.3,6.3,Recession
T1942,OpenAI,Gaming,USA,Big Tech,Feb,2024,1499,14.5,AI Automation,10.0,35.8,Data Scientist,4.6,9.3,5.3,Stable
T1943,SAP,E-Commerce,Singapore,Enterprise,Jan,2025,1994,7.6,Market Slowdown,4.8,31.6,DevOps Engineer,4.2,6.3,6.8,Bull Market
T1944,Palantir,Gaming,Singapore,Big Tech,Feb,2024,2461,1.9,Cost Cutting,6.1,80.3,Frontend Developer,3.9,6.6,5.3,Bull Market
T1945,Stripe,Gaming,Singapore,Startup,Feb,2026,19564,22.0,Cost Cutting,8.5,56.4,DevOps Engineer,7.8,9.2,4.2,Recession
T1946,SAP,FinTech,Singapore,Big Tech,May,2026,12925,23.3,AI Automation,10.0,55.7,Software Engineer,4.6,4.8,4.9,Recession
T1947,Anthropic,E-Commerce,India,Big Tech,Jan,2025,4837,6.0,Overhiring Correction,10.0,29.9,ML Engineer,16.5,7.6,6.5,Stable
T1948,Salesforce,E-Commerce,USA,Mid-size,Aug,2025,2129,0.8,Cost Cutting,10.0,36.2,Product Manager,11.7,6.5,7.7,Bull Market
T1949,Google,E-Commerce,Singapore,Mid-size,May,2024,5901,7.7,Cost Cutting,8.9,19.4,Software Engineer,15.8,6.7,6.7,Stable
T1950,Salesforce,Gaming,Singapore,Big Tech,Dec,2024,629,9.6,AI Automation,4.4,27.6,DevOps Engineer,-1.1,1.9,7.1,Bull Market
T1951,Netflix,Cloud,India,Startup,Jun,2026,2336,12.8,Restructuring,4.2,87.5,DevOps Engineer,9.7,3.9,6.2,Stable
T1952,Google,Social Media,Canada,Enterprise,Jul,2025,6956,35.8,AI Automation,10.0,76.3,Data Scientist,1.4,4.6,4.0,Recession
T1953,Spotify,E-Commerce,Canada,Big Tech,Feb,2025,1121,4.8,Market Slowdown,10.0,24.4,Data Scientist,6.5,6.8,6.8,Bull Market
T1954,OpenAI,E-Commerce,Canada,Mid-size,Jan,2024,1535,5.9,AI Automation,2.2,64.5,Data Scientist,12.2,4.0,8.1,Bull Market
T1955,Stripe,Cloud,Singapore,Mid-size,Sep,2025,2313,4.9,Restructuring,6.8,32.1,Cybersecurity Analyst,6.1,5.2,8.1,Stable
T1956,Amazon,Gaming,Singapore,Mid-size,Feb,2026,1844,39.9,AI Automation,10.0,70.0,Frontend Developer,-5.8,3.6,2.5,Recession
T1957,Airbnb,Cloud,India,Enterprise,Jan,2025,1238,2.2,AI Automation,3.0,14.3,Frontend Developer,14.5,2.9,9.3,Bull Market
T1958,Anthropic,Gaming,USA,Startup,Oct,2026,2203,33.7,AI Automation,10.0,25.7,Cloud Engineer,-14.1,4.7,1.8,Recession
T1959,Adobe,Gaming,India,Enterprise,Apr,2024,674,1.2,Restructuring,8.7,37.0,DevOps Engineer,16.6,6.7,8.0,Bull Market
T1960,OpenAI,E-Commerce,India,Startup,Sep,2026,2038,3.1,Overhiring Correction,4.9,67.2,Frontend Developer,0.5,8.6,5.9,Bull Market
T1961,Amazon,Cloud,Singapore,Mid-size,Feb,2025,12612,10.8,Overhiring Correction,4.6,24.2,ML Engineer,28.1,2.0,8.2,Recession
T1962,Amazon,Cybersecurity,India,Mid-size,Nov,2025,1010,26.1,Cost Cutting,10.0,49.9,Frontend Developer,18.5,7.0,5.1,Recession
T1963,Spotify,E-Commerce,USA,Big Tech,Jul,2024,2406,5.7,Cost Cutting,10.0,17.8,Cybersecurity Analyst,14.4,6.8,6.2,Bull Market
T1964,Intel,E-Commerce,Germany,Mid-size,Aug,2026,11534,22.5,Overhiring Correction,10.0,86.4,ML Engineer,3.6,6.5,4.1,Recession
T1965,Oracle,Social Media,Singapore,Mid-size,Aug,2024,1044,6.0,Restructuring,1.8,60.1,Cloud Engineer,3.7,1.6,7.5,Bull Market
T1966,Databricks,AI,Germany,Startup,Dec,2024,1188,14.2,AI Automation,7.2,17.0,ML Engineer,8.7,5.7,6.9,Recession
T1967,Intel,FinTech,Germany,Enterprise,May,2026,3879,17.4,Overhiring Correction,7.9,42.4,Cybersecurity Analyst,7.3,4.1,4.3,Stable
T1968,Salesforce,FinTech,Germany,Big Tech,Aug,2025,3903,13.8,AI Automation,10.0,26.0,ML Engineer,-1.3,6.8,4.5,Stable
T1969,OpenAI,FinTech,Canada,Startup,May,2025,3607,7.5,Overhiring Correction,10.0,80.5,Cloud Engineer,17.7,9.5,5.7,Stable
T1970,Anthropic,Cloud,UK,Enterprise,Jun,2025,232,3.3,Cost Cutting,8.7,61.6,Product Manager,5.4,6.8,6.4,Bull Market
T1971,Salesforce,Cybersecurity,Singapore,Big Tech,Oct,2025,3685,3.5,Cost Cutting,7.7,58.2,Cloud Engineer,20.5,6.8,6.2,Stable
T1972,Databricks,Gaming,India,Enterprise,Dec,2026,1991,3.0,Overhiring Correction,7.1,17.7,Cybersecurity Analyst,-4.5,4.5,6.6,Bull Market
T1973,Salesforce,Cloud,Germany,Mid-size,Nov,2024,2130,2.3,Cost Cutting,10.0,30.2,Cloud Engineer,12.5,9.2,6.7,Bull Market
T1974,Databricks,Gaming,Singapore,Enterprise,Jun,2024,970,1.9,Restructuring,10.0,36.0,DevOps Engineer,2.6,9.2,5.2,Bull Market
T1975,OpenAI,Social Media,UK,Big Tech,Mar,2025,15357,37.7,Overhiring Correction,9.1,71.1,Cybersecurity Analyst,-20.0,1.3,2.8,Recession
T1976,Amazon,FinTech,USA,Big Tech,Jan,2024,13723,29.2,Cost Cutting,9.4,25.8,Frontend Developer,-22.2,3.7,2.3,Recession
T1977,Spotify,E-Commerce,Germany,Enterprise,Apr,2025,12996,38.0,AI Automation,10.0,61.3,Frontend Developer,-10.0,9.3,1.0,Recession
T1978,Oracle,Social Media,Germany,Startup,Jul,2025,5567,10.6,AI Automation,5.8,29.5,Frontend Developer,7.3,2.8,6.6,Stable
T1979,Apple,Cloud,USA,Enterprise,Feb,2025,1039,8.8,AI Automation,2.0,27.5,Software Engineer,-6.2,4.2,7.4,Bull Market
T1980,Palantir,Cybersecurity,UK,Mid-size,Apr,2024,461,5.1,Overhiring Correction,10.0,74.9,Frontend Developer,17.6,7.8,5.2,Bull Market
T1981,Meta,AI,USA,Enterprise,May,2025,17632,36.4,Cost Cutting,10.0,34.3,Data Scientist,5.8,7.6,3.0,Recession
T1982,Airbnb,Cloud,Canada,Enterprise,Apr,2024,13067,9.1,AI Automation,9.6,20.0,Cybersecurity Analyst,14.7,7.7,6.0,Recession
T1983,Palantir,Cybersecurity,UK,Mid-size,Apr,2026,832,6.7,Overhiring Correction,10.0,62.7,Frontend Developer,4.5,8.0,5.7,Bull Market
T1984,Google,Cloud,USA,Enterprise,Feb,2024,3077,1.9,Restructuring,1.0,58.6,Data Scientist,-13.2,1.3,8.2,Stable
T1985,Airbnb,Cloud,Germany,Mid-size,May,2024,601,3.1,AI Automation,7.2,78.1,Product Manager,15.1,6.2,7.7,Bull Market
T1986,Airbnb,Social Media,UK,Big Tech,Aug,2024,9860,29.1,Cost Cutting,10.0,25.0,Frontend Developer,4.1,6.6,4.4,Recession
T1987,Microsoft,Gaming,USA,Big Tech,Aug,2024,9982,25.4,Restructuring,7.2,59.5,DevOps Engineer,-4.2,1.4,5.4,Recession
T1988,Databricks,Gaming,Germany,Startup,Apr,2026,17440,26.1,Restructuring,10.0,44.4,Cloud Engineer,-3.4,5.5,3.5,Recession
T1989,Oracle,Gaming,Canada,Enterprise,Aug,2026,4577,12.9,Overhiring Correction,5.8,80.3,Software Engineer,-6.8,8.0,5.5,Stable
T1990,NVIDIA,Gaming,Germany,Mid-size,Dec,2024,6491,5.7,Overhiring Correction,7.6,53.4,ML Engineer,6.7,4.0,6.7,Stable
T1991,NVIDIA,Cloud,Germany,Mid-size,Jun,2025,1519,7.9,Market Slowdown,2.0,34.7,Cybersecurity Analyst,-7.0,1.4,5.8,Bull Market
T1992,Airbnb,Social Media,UK,Mid-size,Jan,2026,1976,4.2,Overhiring Correction,8.7,89.6,DevOps Engineer,17.3,5.1,6.7,Stable
T1993,Airbnb,Social Media,Singapore,Startup,Jul,2026,2339,8.1,Market Slowdown,7.2,12.1,Software Engineer,3.9,6.6,5.7,Stable
T1994,Intel,E-Commerce,USA,Big Tech,Jul,2024,5798,4.9,Restructuring,10.0,24.4,DevOps Engineer,8.8,9.2,5.5,Stable
T1995,Spotify,FinTech,India,Enterprise,Aug,2024,5004,17.4,Cost Cutting,6.6,83.6,Cloud Engineer,-5.7,2.5,3.9,Stable
T1996,Airbnb,Gaming,Canada,Mid-size,Jun,2024,1112,3.5,Cost Cutting,3.0,38.6,Frontend Developer,4.2,1.7,7.3,Bull Market
T1997,Amazon,Social Media,India,Startup,May,2024,5942,18.7,Overhiring Correction,6.7,56.8,Software Engineer,-5.5,3.2,3.6,Recession
T1998,Spotify,E-Commerce,India,Enterprise,May,2024,2469,5.2,Cost Cutting,4.9,44.1,Frontend Developer,4.9,6.4,6.1,Bull Market
T1999,Oracle,FinTech,India,Startup,Oct,2024,1190,4.6,Overhiring Correction,6.5,80.6,Data Scientist,-1.5,5.5,6.1,Bull Market
T2000,Netflix,FinTech,Canada,Big Tech,Apr,2024,167,8.3,Cost Cutting,6.4,16.5,ML Engineer,21.8,5.0,7.4,Stable
T2001,Databricks,Social Media,USA,Startup,Mar,2026,1360,1.1,AI Automation,10.0,66.1,Cloud Engineer,-7.2,8.1,5.9,Bull Market
T2002,SAP,Cybersecurity,UK,Mid-size,Apr,2024,2234,3.7,Market Slowdown,6.5,68.8,ML Engineer,13.8,4.6,7.0,Bull Market
T2003,Netflix,Gaming,UK,Startup,Jul,2024,9369,13.0,Cost Cutting,5.5,36.1,Software Engineer,2.6,8.2,6.6,Recession
T2004,Meta,E-Commerce,India,Mid-size,Oct,2025,2053,0.1,Restructuring,6.7,42.5,Cybersecurity Analyst,33.5,8.3,8.0,Bull Market
T2005,Airbnb,E-Commerce,India,Startup,Mar,2026,11001,9.8,Overhiring Correction,10.0,66.5,Product Manager,11.3,7.9,5.6,Recession
T2006,Meta,AI,Germany,Mid-size,Aug,2026,1497,5.6,Restructuring,10.0,16.2,Data Scientist,6.9,6.9,6.5,Bull Market
T2007,NVIDIA,Cybersecurity,Canada,Big Tech,Nov,2026,6643,11.2,Market Slowdown,7.3,36.1,DevOps Engineer,-12.4,6.4,5.7,Recession
T2008,Databricks,Cybersecurity,Singapore,Big Tech,Mar,2026,4764,9.3,Restructuring,4.0,42.1,Frontend Developer,28.2,1.8,8.7,Stable
T2009,Apple,Gaming,USA,Mid-size,May,2024,349,4.1,Overhiring Correction,10.0,19.3,Cybersecurity Analyst,8.1,9.7,5.4,Bull Market
T2010,Oracle,E-Commerce,Germany,Enterprise,Jun,2025,5310,17.4,Cost Cutting,4.9,83.3,Software Engineer,-6.9,1.8,4.9,Stable
T2011,Google,Cloud,Germany,Mid-size,Nov,2025,5167,7.7,Restructuring,5.0,73.7,ML Engineer,-9.0,4.2,6.1,Stable
T2012,Airbnb,Cloud,USA,Mid-size,Aug,2025,1978,7.0,Restructuring,4.5,69.6,Cloud Engineer,12.7,2.2,8.0,Stable
T2013,SAP,FinTech,India,Big Tech,Jan,2024,140,9.7,Cost Cutting,3.7,84.0,Frontend Developer,12.6,2.2,7.4,Bull Market
T2014,Microsoft,FinTech,UK,Startup,Jul,2026,5802,13.7,Restructuring,6.1,81.9,DevOps Engineer,-1.9,3.5,4.9,Stable
T2015,Amazon,Cybersecurity,UK,Enterprise,Jan,2025,18364,11.6,AI Automation,10.0,88.1,DevOps Engineer,20.8,9.0,7.3,Recession
